model_directory,dataset_id,n_fits,fit_failures,singular_fits,non_ok_convergence,fallback_fits
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_acoustic-confirmatory,AN19,24,0,0,0,6
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_base_tsne-confirmatory,AN19,216,0,0,0,57
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,AN19,216,0,0,0,18
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base,AN19,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-base-supp,AN19,1080,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-ft,AN19,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-HVE-ft-supp,AN19,1080,0,0,0,6
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-acoustic,AN19,24,0,0,0,6
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,AN19,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,AN19,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\B23-B23_acoustic-confirmatory,B23,24,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\B23-B23_hubert_base_tsne-confirmatory,B23,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\B23-B23_hubert_ft_tsne-confirmatory,B23,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\B23-SBI-exp-acoustic,B23,24,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\B23-SBI-exp-base,B23,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\B23-SBI-exp-ft,B23,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-HVE-base-supp,X21,3240,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-HVE-ft-supp,X21,3240,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-SBI-exp-acoustic,X21,24,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-SBI-exp-base,X21,216,2,0,2,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-SBI-exp-ft,X21,216,2,0,2,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-X21_acoustic-confirmatory,X21,24,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-X21_hubert_base_tsne-confirmatory,X21,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-X21_hubert_base_tsne-variability-confirmatory,X21,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-X21_hubert_ft_tsne-confirmatory,X21,216,0,0,0,0
C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-X21_hubert_ft_tsne-variability-confirmatory,X21,216,0,0,0,0
