segment_id,speaker_id,accent,source_speaker_code,source_speaker_number,source_speaker_sex,half,utt_interval_index,start_seconds,end_seconds,duration_seconds,sentence_raw,sentence_normalized,corpus_role,test_actual_talker,is_actual_test_talker,behavior_item_id,in_experiment_audio,word_interval_count,phone_interval_count,source_wav_relpath,source_textgrid_relpath
B23-BRP-HT1-utt002,B23.BRP.BRP,BRP,PBR,006,M,HT1,2,0.013,1.512,1.499,A BOY FELL FROM A WINDOW,A BOY FELL FROM A WINDOW,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S5527,false,6,15,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt004,B23.BRP.BRP,BRP,PBR,006,M,HT1,4,1.619,3.248,1.6290000000000002,THE WIFE HELPED HER HUSBAND,THE WIFE HELPED HER HUSBAND,training_sentence,,false,,true,5,19,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt006,B23.BRP.BRP,BRP,PBR,006,M,HT1,6,3.331,5.131,1.8000000000000003,BIG DOGS CAN BE DANGEROUS,BIG DOGS CAN BE DANGEROUS,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S4862,false,5,19,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt008,B23.BRP.BRP,BRP,PBR,006,M,HT1,8,5.149,6.648,1.4989999999999997,THE SHOES WERE VERY DIRTY,THE SHOES WERE VERY DIRTY,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S6509,false,5,15,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt010,B23.BRP.BRP,BRP,PBR,006,M,HT1,10,6.814,8.085,1.2710000000000008,THE PLAYER LOST A SHOE,THE PLAYER LOST A SHOE,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S8247,false,6,14,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt012,B23.BRP.BRP,BRP,PBR,006,M,HT1,12,8.239,9.597999999999999,1.3589999999999982,SOMEBODY STOLE THE MONEY,SOMEBODY STOLE THE MONEY,training_sentence,,false,,true,4,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt014,B23.BRP.BRP,BRP,PBR,006,M,HT1,14,9.727,11.196,1.4689999999999994,THE FIRE WAS VERY HOT,THE FIRE WAS VERY HOT,training_sentence,,false,,true,5,15,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt016,B23.BRP.BRP,BRP,PBR,006,M,HT1,16,11.324000000000002,13.404,2.0799999999999983,SHE'S DRINKING FROM HER OWN CUP,SHE'S DRINKING FROM HER OWN CUP,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S7149,false,7,21,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt018,B23.BRP.BRP,BRP,PBR,006,M,HT1,18,13.760000000000002,15.399000000000001,1.6389999999999993,THE PICTURE CAME FROM A BOOK,THE PICTURE CAME FROM A BOOK,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S2227,false,7,19,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt020,B23.BRP.BRP,BRP,PBR,006,M,HT1,20,15.543000000000001,17.162000000000003,1.6190000000000015,THE CAR IS GOING TOO FAST,THE CAR IS GOING TOO FAST,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S0754,false,6,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
