recording_id,speaker_id,word,annotation_word,accent,source_l1_language,phone_index,canonical_phone,model_phone,start_seconds,end_seconds,duration_seconds,is_silence,mean_target_posterior,mean_posterior_argmax_lh39,shorter_than_hubert_stride,low_target_posterior
AN19-rec-42f9635ef1963d09142b,AN19.ENG.ef1,was,was,ENG,English,0,sil,sil,0.0,0.02016751654446125,0.02016751654446125,True,0.2660616934299469,el,False,False
AN19-rec-42f9635ef1963d09142b,AN19.ENG.ef1,was,was,ENG,English,1,w,w,0.02016751654446125,0.0302512738853693,0.01008375734090805,False,0.1334354281425476,uw,True,True
AN19-rec-42f9635ef1963d09142b,AN19.ENG.ef1,was,was,ENG,English,2,aa,ao,0.0302512738853693,0.6756117939949036,0.6453605201095343,False,0.00020491587929427624,ay,False,True
AN19-rec-42f9635ef1963d09142b,AN19.ENG.ef1,was,was,ENG,English,3,z,z,0.6756117939949036,0.6856955289840698,0.01008373498916626,False,0.9618687033653259,z,True,False
AN19-rec-42f9635ef1963d09142b,AN19.ENG.ef1,was,was,ENG,English,4,sil,sil,0.6856955289840698,0.7662585034013606,0.08056297441729077,True,0.03129684180021286,z,False,True
AN19-rec-35264dd3388b3afc06dd,AN19.ENG.ef1,down,down,ENG,English,0,sil,sil,0.0,0.07058630883693695,0.07058630883693695,True,1.3536464393837377e-07,ae,False,True
AN19-rec-35264dd3388b3afc06dd,AN19.ENG.ef1,down,down,ENG,English,1,d,d,0.07058630883693695,0.13108885288238525,0.0605025440454483,False,1.6071859121336018e-10,ae,False,True
AN19-rec-35264dd3388b3afc06dd,AN19.ENG.ef1,down,down,ENG,English,2,aw,aw,0.13108885288238525,0.41343405842781067,0.2823452055454254,False,0.1171540692448616,ao,False,True
AN19-rec-35264dd3388b3afc06dd,AN19.ENG.ef1,down,down,ENG,English,3,n,en,0.41343405842781067,0.4235178530216217,0.010083794593811035,False,0.6994802951812744,en,True,False
AN19-rec-35264dd3388b3afc06dd,AN19.ENG.ef1,down,down,ENG,English,4,sil,sil,0.4235178530216217,0.6936961451247166,0.27017829210309485,True,0.00264059379696846,uw,False,True
AN19-rec-0555ed8b26decd68d6db,AN19.ENG.ef1,work,work,ENG,English,0,sil,sil,0.0,0.010083758272230625,0.010083758272230625,True,0.04095575958490372,el,True,True
AN19-rec-0555ed8b26decd68d6db,AN19.ENG.ef1,work,work,ENG,English,1,w,w,0.010083758272230625,0.35293152928352356,0.34284777101129293,False,0.029392341151833534,ah,False,True
AN19-rec-0555ed8b26decd68d6db,AN19.ENG.ef1,work,work,ENG,English,2,er,er,0.35293152928352356,0.3630152642726898,0.01008373498916626,False,0.817440927028656,er,True,False
AN19-rec-0555ed8b26decd68d6db,AN19.ENG.ef1,work,work,ENG,English,3,k,k,0.3630152642726898,0.47393661737442017,0.11092135310173035,False,2.344162419731788e-09,en,False,True
AN19-rec-0555ed8b26decd68d6db,AN19.ENG.ef1,work,work,ENG,English,4,sil,sil,0.47393661737442017,0.6820861678004535,0.20814955042603334,True,0.5827057361602783,sil,False,False
AN19-rec-ad3b4d36121fe64f5d46,AN19.ENG.ef1,long,long,ENG,English,0,sil,sil,0.0,0.1008375734090805,0.1008375734090805,True,0.12086019665002823,uw,False,True
AN19-rec-ad3b4d36121fe64f5d46,AN19.ENG.ef1,long,long,ENG,English,1,l,el,0.1008375734090805,0.15125636756420135,0.05041879415512085,False,0.7773998975753784,el,False,False
