recording_id,speaker_id,word,annotation_word,accent,source_l1_language,phone_index,canonical_phone,model_phone,start_seconds,end_seconds,duration_seconds,is_silence,mean_target_posterior,mean_posterior_argmax_lh39,shorter_than_hubert_stride,low_target_posterior,original_word,comparison_word,source_filename,lexical_identity_unresolved,audio_sha256,canonical_sequence,canonical_position,interval_id,n_feature_frames,first_feature_frame,last_feature_frame,feature_frame_indices,no_feature_center
AN19-rec-000410f33e1d4ee3c20c,AN19.ENG.em1,bum,bum,ENG,English,1,b,b,0.0201675165444612,0.0302512738853693,0.010083757340908,False,9.73425007266826e-10,t,True,True,bum,bum,em1hw05 bum.WAV,False,82c8f5a40ca94c46f2e70096af36d01ac803f8d3a48327f1362f378ffa29b2e7,b ah m,0,AN19-rec-000410f33e1d4ee3c20c:phone:1,0,,,,True
AN19-rec-000410f33e1d4ee3c20c,AN19.ENG.em1,bum,bum,ENG,English,2,ah,ah,0.0302512738853693,0.2117589265108108,0.1815076526254415,False,4.354368866188452e-05,ow,False,True,bum,bum,em1hw05 bum.WAV,False,82c8f5a40ca94c46f2e70096af36d01ac803f8d3a48327f1362f378ffa29b2e7,b ah m,1,AN19-rec-000410f33e1d4ee3c20c:phone:2,9,1.0,9.0,1 2 3 4 5 6 7 8 9,False
AN19-rec-000410f33e1d4ee3c20c,AN19.ENG.em1,bum,bum,ENG,English,3,m,m,0.2117589265108108,0.292428970336914,0.0806700438261032,False,0.0032659596763551,iy,False,True,bum,bum,em1hw05 bum.WAV,False,82c8f5a40ca94c46f2e70096af36d01ac803f8d3a48327f1362f378ffa29b2e7,b ah m,2,AN19-rec-000410f33e1d4ee3c20c:phone:3,4,10.0,13.0,10 11 12 13,False
AN19-rec-00079a5577d59a2dc124,AN19.SPA.sf6,pull,pull,SPA,Spanish,1,p,p,0.0302512738853693,0.0705863088369369,0.0403350349515676,False,5.369692644308088e-06,t,False,True,pull,pull,sf6ew64 pull.wav,False,4fce137378e904db2ba1d4692eee4fc67761572e97d2b4d509ae431504467f14,p uh l,0,AN19-rec-00079a5577d59a2dc124:phone:1,2,1.0,2.0,1 2,False
AN19-rec-00079a5577d59a2dc124,AN19.SPA.sf6,pull,pull,SPA,Spanish,2,uh,uh,0.0705863088369369,0.3125964701175689,0.242010161280632,False,0.0001975274790311,uw,False,True,pull,pull,sf6ew64 pull.wav,False,4fce137378e904db2ba1d4692eee4fc67761572e97d2b4d509ae431504467f14,p uh l,1,AN19-rec-00079a5577d59a2dc124:phone:2,13,3.0,15.0,3 4 5 6 7 8 9 10 11 12 13 14 15,False
AN19-rec-00079a5577d59a2dc124,AN19.SPA.sf6,pull,pull,SPA,Spanish,3,l,el,0.3125964701175689,0.3327640295028686,0.0201675593852996,False,0.9889093041419984,el,False,False,pull,pull,sf6ew64 pull.wav,False,4fce137378e904db2ba1d4692eee4fc67761572e97d2b4d509ae431504467f14,p uh l,2,AN19-rec-00079a5577d59a2dc124:phone:3,1,16.0,16.0,16,False
AN19-rec-002747096d898f7ade1e,AN19.MIX.if4,deep,deep,MIX,German,1,d,d,0.0201675165444612,0.1815076321363449,0.1613401155918836,False,5.761267463100239e-09,iy,False,True,deep,deep,IF4ew35 deep.wav,False,1ba4987784239d0d0899032614aa8325a162d9c19a3faaf6c22488f98f71a6c9,d iy p,0,AN19-rec-002747096d898f7ade1e:phone:1,8,1.0,8.0,1 2 3 4 5 6 7 8,False
AN19-rec-002747096d898f7ade1e,AN19.MIX.if4,deep,deep,MIX,German,2,iy,iy,0.1815076321363449,0.1915913969278335,0.0100837647914886,False,0.9999746084213256,iy,True,False,deep,deep,IF4ew35 deep.wav,False,1ba4987784239d0d0899032614aa8325a162d9c19a3faaf6c22488f98f71a6c9,d iy p,1,AN19-rec-002747096d898f7ade1e:phone:2,0,,,,True
AN19-rec-002747096d898f7ade1e,AN19.MIX.if4,deep,deep,MIX,German,3,p,p,0.1915913969278335,0.3125964701175689,0.1210050731897354,False,5.054888561062398e-07,iy,False,True,deep,deep,IF4ew35 deep.wav,False,1ba4987784239d0d0899032614aa8325a162d9c19a3faaf6c22488f98f71a6c9,d iy p,2,AN19-rec-002747096d898f7ade1e:phone:3,7,9.0,15.0,9 10 11 12 13 14 15,False
AN19-rec-00301de6d7ad00a41cc5,AN19.MIX.if4,move,move,MIX,German,1,m,m,0.0201675165444612,0.1210050955414772,0.1008375789970159,False,0.000507166259922,ih,False,True,move,move,IF4ew27 move.wav,False,821086586e5ed942e0d7aec53c5d0389bb97807e008ff4a4119e7106adce90a0,m uw v,0,AN19-rec-00301de6d7ad00a41cc5:phone:1,5,1.0,5.0,1 2 3 4 5,False
