dataset_id,variant,selection_objective,feature_key,measure,gain,ci_low,ci_high,mean_cv_train_z,cv_train_z_ci_low,cv_train_z_ci_high,cell
AN19,base,OOF likelihood,tr_24::overall_order_sensitive,overall_order_sensitive,0.07453303590697521,-0.8423028938432249,0.9457042543989016,2.182490760840563,1.83832943329944,2.55441949258233,"AN19
base"
AN19,base,training-fold z,tr_24::order_word,order_word,-0.11752128461504172,-1.1381293883174952,0.7899227531076097,2.2469669567850867,1.55921056015744,2.8595954463133695,"AN19
base"
AN19,ft,OOF likelihood,tr_24::order_word,order_word,0.04168399106952274,-0.4572826944681176,0.5300808429401652,1.2305000132497301,1.0613558214206,1.41585558079894,"AN19
ft"
AN19,ft,training-fold z,tr_24::overall_order_sensitive,overall_order_sensitive,0.027440403597892404,-0.49048868967963943,0.5654890211990057,1.28961783432233,1.20509338796675,1.36209031700023,"AN19
ft"
B23,base,OOF likelihood,tr_24::overall_order_sensitive,overall_order_sensitive,-0.801639212406238,-9.636265491905814,6.885542459649825,-1.6161809027358591,-3.13074768981771,-0.777402481800365,"B23
base"
B23,base,training-fold z,tr_24::between_type_phoneme,between_type_phoneme,-0.171350796245291,-4.477786286395048,4.145991343794675,1.82382527159392,1.12372076797193,3.22353446419317,"B23
base"
B23,ft,OOF likelihood,tr_24::overall_order_sensitive,overall_order_sensitive,-0.8374305557888283,-8.272184688556713,6.6121632976363625,-1.3790253993774062,-2.67889397209492,-0.599529930448008,"B23
ft"
B23,ft,training-fold z,tr_24::within_token_word,within_token_word,0.38408756426408935,-2.5289596939129844,3.275633349802457,1.3817753477277144,0.6902747303294229,2.04134905323116,"B23
ft"
X21,base,OOF likelihood,tr_24::mean_dissimilarity_word,mean_dissimilarity_word,1.7347522101554238,-0.3783214625559854,3.7664253311307476,-2.84099784210113,-3.3699832598896804,-2.55630532775079,"X21
base"
X21,base,training-fold z,tr_24::between_type_word,between_type_word,-0.5787270964804611,-1.835374086839617,0.5858331265789994,1.1356442410945775,0.261336213487863,1.70099376074608,"X21
base"
X21,ft,OOF likelihood,tr_24::within_type_phoneme,within_type_phoneme,2.3611317311344298,-0.9949251520237778,5.648587611109099,-3.5787107738744734,-4.43444217167523,-2.8759984152599096,"X21
ft"
X21,ft,training-fold z,tr_24::between_type_sentence,between_type_sentence,1.2052717175820278,-0.6393832382780861,2.9293616695853304,2.3402165463595463,1.89961740106523,2.87686695012013,"X21
ft"
