analysis_row_id,condition,dataset_id,distance,item_id,item_talker,layer,model_variant,participant_id,representation,response_correct,response_incorrect,condition_class,model_similarity,similarity_k,listener_accuracy
B23:B23.2003:002,b_BRP,B23,7.227053903199724,B23.TUR.TUR.S2368,B23.TUR.TUR,tr_24,base,B23.2003,hubert_tsne_3d,1,4,Single talker,0.0992159230102806,0.3196955210660409,1
B23:B23.2003:003,b_BRP,B23,6.750771017140118,B23.FAR.FAR.S5218,B23.FAR.FAR,tr_24,base,B23.2003,hubert_tsne_3d,1,4,Single talker,0.1155339031967364,0.3196955210660409,1
B23:B23.2003:005,b_BRP,B23,8.816157221623556,B23.TUR.TUR.S4862,B23.TUR.TUR,tr_24,base,B23.2003,hubert_tsne_3d,1,4,Single talker,0.059696255841859606,0.3196955210660409,1
B23:B23.2003:006,b_BRP,B23,7.83987027782948,B23.SPA.SPA.S2534,B23.SPA.SPA,tr_24,base,B23.2003,hubert_tsne_3d,5,0,Single talker,0.08156366373424341,0.3196955210660409,1
B23:B23.2003:006,b_BRP,B23,7.83987027782948,B23.SPA.SPA.S2534,B23.SPA.SPA,tr_24,base,B23.2003,hubert_tsne_3d,5,0,Single talker,0.08156366373424341,0.3196955210660409,1
B23:B23.2003:006,b_BRP,B23,7.83987027782948,B23.SPA.SPA.S2534,B23.SPA.SPA,tr_24,base,B23.2003,hubert_tsne_3d,5,0,Single talker,0.08156366373424341,0.3196955210660409,1
B23:B23.2003:006,b_BRP,B23,7.83987027782948,B23.SPA.SPA.S2534,B23.SPA.SPA,tr_24,base,B23.2003,hubert_tsne_3d,5,0,Single talker,0.08156366373424341,0.3196955210660409,1
B23:B23.2003:006,b_BRP,B23,7.83987027782948,B23.SPA.SPA.S2534,B23.SPA.SPA,tr_24,base,B23.2003,hubert_tsne_3d,5,0,Single talker,0.08156366373424341,0.3196955210660409,1
B23:B23.2003:007,b_BRP,B23,3.8927714906892494,B23.TUR.TUR.S9445,B23.TUR.TUR,tr_24,base,B23.2003,hubert_tsne_3d,7,0,Single talker,0.2880844507363052,0.3196955210660409,1
B23:B23.2003:007,b_BRP,B23,3.8927714906892494,B23.TUR.TUR.S9445,B23.TUR.TUR,tr_24,base,B23.2003,hubert_tsne_3d,7,0,Single talker,0.2880844507363052,0.3196955210660409,1
