analysis_row_id,condition,dataset_id,distance,item_id,item_talker,layer,model_variant,participant_id,representation,response_correct,response_incorrect,condition_class,model_similarity,similarity_k,listener_accuracy
B23:B23.2003:002,b_BRP,B23,1.475537182312129,B23.TUR.TUR.S2368,B23.TUR.TUR,tr_24,ft,B23.2003,hubert_tsne_3d,1,4,Single talker,0.9985197354033136,0.0010039470970037,1
B23:B23.2003:003,b_BRP,B23,2.9502275378679927,B23.FAR.FAR.S5218,B23.FAR.FAR,tr_24,ft,B23.2003,hubert_tsne_3d,1,4,Single talker,0.9970425096444393,0.0010039470970037,1
B23:B23.2003:005,b_BRP,B23,2.89396364709778,B23.TUR.TUR.S4862,B23.TUR.TUR,tr_24,ft,B23.2003,hubert_tsne_3d,1,4,Single talker,0.9970988301481774,0.0010039470970037,1
B23:B23.2003:006,b_BRP,B23,1.966035121664071,B23.SPA.SPA.S2534,B23.SPA.SPA,tr_24,ft,B23.2003,hubert_tsne_3d,5,0,Single talker,0.9980281513998731,0.0010039470970037,1
B23:B23.2003:006,b_BRP,B23,1.966035121664071,B23.SPA.SPA.S2534,B23.SPA.SPA,tr_24,ft,B23.2003,hubert_tsne_3d,5,0,Single talker,0.9980281513998731,0.0010039470970037,1
B23:B23.2003:006,b_BRP,B23,1.966035121664071,B23.SPA.SPA.S2534,B23.SPA.SPA,tr_24,ft,B23.2003,hubert_tsne_3d,5,0,Single talker,0.9980281513998731,0.0010039470970037,1
B23:B23.2003:006,b_BRP,B23,1.966035121664071,B23.SPA.SPA.S2534,B23.SPA.SPA,tr_24,ft,B23.2003,hubert_tsne_3d,5,0,Single talker,0.9980281513998731,0.0010039470970037,1
B23:B23.2003:006,b_BRP,B23,1.966035121664071,B23.SPA.SPA.S2534,B23.SPA.SPA,tr_24,ft,B23.2003,hubert_tsne_3d,5,0,Single talker,0.9980281513998731,0.0010039470970037,1
B23:B23.2003:007,b_BRP,B23,1.844190000890414,B23.TUR.TUR.S9445,B23.TUR.TUR,tr_24,ft,B23.2003,hubert_tsne_3d,7,0,Single talker,0.9981502437140803,0.0010039470970037,1
B23:B23.2003:007,b_BRP,B23,1.844190000890414,B23.TUR.TUR.S9445,B23.TUR.TUR,tr_24,ft,B23.2003,hubert_tsne_3d,7,0,Single talker,0.9981502437140803,0.0010039470970037,1
