tau,status,file,wall_seconds
0.5,complete,tau_000_fits.csv,241.1828753
1.0,complete,tau_004_fits.csv,241.192024
0.875,complete,tau_003_fits.csv,243.3232731
1.125,complete,tau_005_fits.csv,244.0164982
0.75,complete,tau_002_fits.csv,244.3942631
1.25,complete,tau_006_fits.csv,245.3490008
1.375,complete,tau_007_fits.csv,249.1787761
0.625,complete,tau_001_fits.csv,250.0247344
1.5,complete,tau_008_fits.csv,244.0889204
1.75,complete,tau_010_fits.csv,242.87929440000002
1.625,complete,tau_009_fits.csv,249.18356110000002
2.125,complete,tau_013_fits.csv,246.08005730000002
2.0,complete,tau_012_fits.csv,250.32552710000002
2.25,complete,tau_014_fits.csv,245.9731071
1.875,complete,tau_011_fits.csv,251.96742970000003
2.375,complete,tau_015_fits.csv,251.1336225
2.625,complete,tau_017_fits.csv,244.62607809999997
2.5,complete,tau_016_fits.csv,246.54301720000007
2.75,complete,tau_018_fits.csv,244.7085341
3.0,complete,tau_020_fits.csv,242.71202289999997
3.125,complete,tau_021_fits.csv,242.4871452
2.875,complete,tau_019_fits.csv,251.393781
3.25,complete,tau_022_fits.csv,246.95766150000003
3.375,complete,tau_023_fits.csv,247.90961650000003
3.5,complete,tau_024_fits.csv,210.71275750000007
3.625,complete,tau_025_fits.csv,209.81111780000003
4.0,complete,tau_028_fits.csv,206.05760420000001
3.75,complete,tau_026_fits.csv,208.66688220000003
3.875,complete,tau_027_fits.csv,207.06990670000005
