run_label,model_dir,score_file,score_sha256,n_score_rows,n_ratio_rows,n_features,n_invalid_ratio_rows,n_warning_ratio_rows,input_file,input_manifest_sha256,input_file_available,input_sha256
AN19-base,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\train_test\AN19-base,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\train_test\AN19-base\train_test_scores.csv,7e27dbf11e299bf45c1913a02bd923242d03c0d99af9354e548a5f10626d4929,432,216,18,0,0,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\derived\AN19-AN19_hubert_base_tsne-confirmatory-model-input.csv,c035d990e5eb2ca2f40962ce1df9669a7bdb6fbf32ed72ab619c268a15d4f5ca,True,c035d990e5eb2ca2f40962ce1df9669a7bdb6fbf32ed72ab619c268a15d4f5ca
AN19-ft,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\train_test\AN19-ft,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\train_test\AN19-ft\train_test_scores.csv,e8b09d34878db05136bd3c09ce031fe054b69b2eb9dd7517022f97e92f3f2ace,432,216,18,0,0,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\derived\AN19-AN19_hubert_ft_tsne-confirmatory-model-input.csv,33fe81c53f86d339c9e563989eff2fb25bc0cc82e0e4534d268e2b9f99842522,True,33fe81c53f86d339c9e563989eff2fb25bc0cc82e0e4534d268e2b9f99842522
AN19-acoustic,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\train_test\AN19-acoustic,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\train_test\AN19-acoustic\train_test_scores.csv,0df069eeb9cb8647c075fe55f8c5140ba414db77897e5e5538e451e30591ba86,48,24,2,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\AN19-AN19_acoustic-confirmatory-full-20260906-model-input.csv,b43103e8f7f42e0099b4f8ca92e3332a276a4762233c90ac2ca9f894d7b450a7,True,b43103e8f7f42e0099b4f8ca92e3332a276a4762233c90ac2ca9f894d7b450a7
X21-acoustic,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\train_test\X21-acoustic,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\train_test\X21-acoustic\train_test_scores.csv,c33dd5d33f147d7e0992d2f2f5e3b8787dc961bbd4ad29940556779e025ea0b4,48,24,2,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\X21-X21_acoustic-confirmatory-full-20260906-model-input.csv,a1c54bcb77f9ee252354d2b7ce5e499a599a715751454fe8542733cf1791ff4d,True,a1c54bcb77f9ee252354d2b7ce5e499a599a715751454fe8542733cf1791ff4d
B23-acoustic,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\train_test\B23-acoustic,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\train_test\B23-acoustic\train_test_scores.csv,e4fb7fa9a98fe2d0dbc2bccbc4f7ac448299d26338a12abc6c6d18e66bf7e388,48,24,2,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\B23-B23_acoustic-confirmatory-full-20260906-model-input.csv,2719fb30758fc78a4d4244d51b1684a3cc6037a48eb847bb2f337c5cc3c09eda,True,2719fb30758fc78a4d4244d51b1684a3cc6037a48eb847bb2f337c5cc3c09eda
X21-base,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\tt_all\X21-base,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\tt_all\X21-base\train_test_scores.csv,75cba5e01fe3d268e095d640498b78e6a9a026287852adf39c3468720ac4ad16,432,216,18,0,0,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\derived\X21-X21_hubert_base_tsne-confirmatory-model-input.csv,cac303fb4e05282d2d7a5eb8c83c53aa61d894019a6610665622b587ba9dde33,True,cac303fb4e05282d2d7a5eb8c83c53aa61d894019a6610665622b587ba9dde33
X21-ft,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\tt_all\X21-ft,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\tt_all\X21-ft\train_test_scores.csv,377f63da918733748acebbcbdeaca3e0156591309777342dbe3a3e8eea68d042,432,216,18,0,0,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\derived\X21-X21_hubert_ft_tsne-confirmatory-model-input.csv,c7fbf435985b74f5e2f510fc1ba26fb92c1876b2b5bf07c8566296d66caa585a,True,c7fbf435985b74f5e2f510fc1ba26fb92c1876b2b5bf07c8566296d66caa585a
B23-base,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\tt_all\B23-base,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\tt_all\B23-base\train_test_scores.csv,4e37575750cf2571de62e5398881f67f295a59fcf76c67a7047cc72dd8ea9aa5,432,216,18,0,0,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\derived\B23-B23_hubert_base_tsne-confirmatory-model-input.csv,eab8ea37a25b660c26ad1e3e1d073700bd1d6a66c8d758cf9b255ecc196fdfdb,True,eab8ea37a25b660c26ad1e3e1d073700bd1d6a66c8d758cf9b255ecc196fdfdb
B23-ft,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\tt_all\B23-ft,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\tt_all\B23-ft\train_test_scores.csv,52b7a66e567bcf476780898235a0bc651a2c7c28ca47e73d2fd4f8099a56f0a0,432,216,18,0,0,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\derived\B23-B23_hubert_ft_tsne-confirmatory-model-input.csv,5c4c755a14ab07bf2cd3b5b68d7e13fa8bfe05fa7daaaab4dd52ab8e63e8c451,True,5c4c755a14ab07bf2cd3b5b68d7e13fa8bfe05fa7daaaab4dd52ab8e63e8c451
HVE-AN19-base-120,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\AN19-base-120\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\AN19-base-120\m\train_test_scores.csv,6f5b2f974ea3892dbbe4388e11cfc9d0e4ddcf1045e6d5a0de797f9d26beae2a,168,84,7,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\AN19-base-120\input.csv,ed8380143589f372afa3e247862713d568c46c7a4a655446cbc4460fa4778d37,True,ed8380143589f372afa3e247862713d568c46c7a4a655446cbc4460fa4778d37
