dataset_id,family,measure,stratum,variant,n_neural_layers,layers,plot_status,figure,n_warning_features,n_incomplete_features,per_fold_response_counts_match
AN19,HVE,between_type_word,AN19_120_available_exposure,base,1,tr_24,table_only_insufficient_layer_coverage,,,,
AN19,HVE,between_type_word,AN19_120_available_exposure,ft,1,tr_24,table_only_insufficient_layer_coverage,,,,
AN19,HVE,mean_dissimilarity_word,AN19_120_available_exposure,base,1,tr_24,table_only_insufficient_layer_coverage,,,,
AN19,HVE,mean_dissimilarity_word,AN19_120_available_exposure,ft,1,tr_24,table_only_insufficient_layer_coverage,,,,
AN19,HVE,order_word,AN19_120_available_exposure,base,1,tr_24,table_only_insufficient_layer_coverage,,,,
AN19,HVE,order_word,AN19_120_available_exposure,ft,1,tr_24,table_only_insufficient_layer_coverage,,,,
AN19,HVE,overall,AN19_120_available_exposure,base,18,cnn_2; cnn_3; cnn_4; cnn_5; cnn_6; tr_0; tr_2; tr_4; tr_6; tr_8; tr_10; tr_12; tr_14; tr_16; tr_18; tr_20; tr_22; tr_24,layer_profile,AN19_HVE_base_overall_AN19_120_available_exposure_test_train_ratio,0.0,0.0,True
AN19,HVE,overall,AN19_120_available_exposure,ft,18,cnn_2; cnn_3; cnn_4; cnn_5; cnn_6; tr_0; tr_2; tr_4; tr_6; tr_8; tr_10; tr_12; tr_14; tr_16; tr_18; tr_20; tr_22; tr_24,layer_profile,AN19_HVE_ft_overall_AN19_120_available_exposure_test_train_ratio,0.0,0.0,True
AN19,HVE,overall_order_sensitive,AN19_120_available_exposure,base,18,cnn_2; cnn_3; cnn_4; cnn_5; cnn_6; tr_0; tr_2; tr_4; tr_6; tr_8; tr_10; tr_12; tr_14; tr_16; tr_18; tr_20; tr_22; tr_24,layer_profile,AN19_HVE_base_overall_order_sensitive_AN19_120_available_exposure_test_train_ratio,0.0,0.0,True
AN19,HVE,overall_order_sensitive,AN19_120_available_exposure,ft,18,cnn_2; cnn_3; cnn_4; cnn_5; cnn_6; tr_0; tr_2; tr_4; tr_6; tr_8; tr_10; tr_12; tr_14; tr_16; tr_18; tr_20; tr_22; tr_24,layer_profile,AN19_HVE_ft_overall_order_sensitive_AN19_120_available_exposure_test_train_ratio,0.0,0.0,True
AN19,HVE,within_token_word,AN19_120_available_exposure,base,1,tr_24,table_only_insufficient_layer_coverage,,,,
AN19,HVE,within_token_word,AN19_120_available_exposure,ft,1,tr_24,table_only_insufficient_layer_coverage,,,,
AN19,HVE,within_type_word,AN19_120_available_exposure,base,1,tr_24,table_only_insufficient_layer_coverage,,,,
AN19,HVE,within_type_word,AN19_120_available_exposure,ft,1,tr_24,table_only_insufficient_layer_coverage,,,,
