layer,fold,type,k,status,note,n_cells,n_trials,converged,singular,optimizer_code,convergence_messages,warnings,log_likelihood,elapsed_seconds
cnn_2,0,diagnostic,0.010594974248772664,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_2,1,diagnostic,0.058763382720754986,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_2,2,diagnostic,0.04189334317467887,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_2,0,corrected,0.03708390004806884,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_2,1,corrected,0.03708390004806884,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_2,2,corrected,0.03708390004806884,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_3,0,diagnostic,0.0681295752848515,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_3,1,diagnostic,0.04915711580488988,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_3,2,diagnostic,0.3488763829517172,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_3,0,corrected,0.15538769134715286,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_3,1,corrected,0.15538769134715286,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_3,2,corrected,0.15538769134715286,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_4,0,diagnostic,0.025599330071383625,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_4,1,diagnostic,0.022555877181084493,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_4,2,diagnostic,0.26179554469345373,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_4,0,corrected,0.10331691731530729,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_4,1,corrected,0.10331691731530729,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_4,2,corrected,0.10331691731530729,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_5,0,diagnostic,0.6902471237618747,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_5,1,diagnostic,0.27958135338744766,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_5,2,diagnostic,0.4979860458414033,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_5,0,corrected,0.48927150766357524,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_5,1,corrected,0.48927150766357524,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_5,2,corrected,0.48927150766357524,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_6,0,diagnostic,0.6115284373796187,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_6,1,diagnostic,0.04556573790829358,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_6,2,diagnostic,0.42073783850599444,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
cnn_6,0,corrected,0.3592773379313023,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_6,1,corrected,0.3592773379313023,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
cnn_6,2,corrected,0.3592773379313023,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_0,0,diagnostic,0.618378426487273,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_0,1,diagnostic,0.395119082349759,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_0,2,diagnostic,0.5084289616484148,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_0,0,corrected,0.5073088234951489,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
