analysis,canonical_phone,language,branch,mean_distance,ci_low,ci_high,n_talkers,n_word_types_min,n_word_types_max,ci_status
six_reference_complete,aa,Albanian,Albanian,37.2171124732919,,,1,6,6,not_estimable_one_talker
six_reference_complete,aa,Bengali,Indo-Aryan,51.16210555524876,,,1,6,6,not_estimable_one_talker
six_reference_complete,aa,Dutch,Germanic,49.646458189131,,,1,6,6,not_estimable_one_talker
six_reference_complete,aa,French,Romance,53.88954717917105,,,1,5,5,not_estimable_one_talker
six_reference_complete,aa,German,Germanic,49.51113578080135,,,1,7,7,not_estimable_one_talker
six_reference_complete,aa,Hindi,Indo-Aryan,38.72346922590665,,,1,7,7,not_estimable_one_talker
six_reference_complete,aa,Japanese,Japonic,48.21028216883264,,,1,5,5,not_estimable_one_talker
six_reference_complete,aa,Korean,Koreanic,38.63305831905226,34.84326975108795,43.473626634823674,12,4,7,talker_bootstrap_95pct
six_reference_complete,aa,Mandarin,Sino-Tibetan,45.73410421067653,,,1,6,6,not_estimable_one_talker
six_reference_complete,aa,Romanian,Romance,55.06024897197318,,,1,5,5,not_estimable_one_talker
six_reference_complete,aa,Russian,Slavic,28.91041246974845,,,1,6,6,not_estimable_one_talker
six_reference_complete,aa,Somali,Afro-Asiatic,50.23359133468839,,,1,5,5,not_estimable_one_talker
six_reference_complete,aa,Spanish,Romance,42.180797214863766,39.23215065257805,44.93660964069388,12,5,7,talker_bootstrap_95pct
six_reference_complete,aa,Turkish,Turkic,35.13995025646716,,,1,4,4,not_estimable_one_talker
six_reference_complete,ae,Albanian,Albanian,25.132507102023848,,,1,5,5,not_estimable_one_talker
six_reference_complete,ae,Bengali,Indo-Aryan,48.05587506698629,,,1,4,4,not_estimable_one_talker
six_reference_complete,ae,Dutch,Germanic,34.69663559477367,,,1,5,5,not_estimable_one_talker
six_reference_complete,ae,French,Romance,29.73693746315564,,,1,3,3,not_estimable_one_talker
six_reference_complete,ae,German,Germanic,38.69686699924128,,,1,3,3,not_estimable_one_talker
six_reference_complete,ae,Hindi,Indo-Aryan,49.35816814316582,,,1,4,4,not_estimable_one_talker
six_reference_complete,ae,Japanese,Japonic,31.553681547074927,,,1,5,5,not_estimable_one_talker
six_reference_complete,ae,Korean,Koreanic,31.633348060779156,24.44954252411919,39.02802848921011,12,4,5,talker_bootstrap_95pct
six_reference_complete,ae,Mandarin,Sino-Tibetan,18.864365512487968,,,1,4,4,not_estimable_one_talker
six_reference_complete,ae,Romanian,Romance,24.70483313255611,,,1,5,5,not_estimable_one_talker
six_reference_complete,ae,Russian,Slavic,28.597310414131336,,,1,4,4,not_estimable_one_talker
six_reference_complete,ae,Somali,Afro-Asiatic,10.933244391453169,,,1,2,2,not_estimable_one_talker
six_reference_complete,ae,Spanish,Romance,34.92187151477224,29.00370965905331,41.47833203285634,12,4,5,talker_bootstrap_95pct
six_reference_complete,ae,Turkish,Turkic,31.916562933953504,,,1,3,3,not_estimable_one_talker
six_reference_complete,ah,Albanian,Albanian,41.74587625708231,,,1,3,3,not_estimable_one_talker
six_reference_complete,ah,Bengali,Indo-Aryan,47.91528728918849,,,1,3,3,not_estimable_one_talker
six_reference_complete,ah,Dutch,Germanic,37.62521983756588,,,1,3,3,not_estimable_one_talker
six_reference_complete,ah,French,Romance,46.5733613575992,,,1,3,3,not_estimable_one_talker
six_reference_complete,ah,German,Germanic,39.06311399500807,,,1,2,2,not_estimable_one_talker
six_reference_complete,ah,Hindi,Indo-Aryan,42.201060438200116,,,1,2,2,not_estimable_one_talker
