dataset_id,participant_id,presentation_index,segment_id,source_filename,source_condition,source_list,source_trial,order_status
B23,B23.2003,1,B23-BRP-HT2-utt022,ALL_006_M_PBR_ENG_HT2_THE BOY DID A HANDSTAND.wav,BRP,BRP,1,available
B23,B23.2003,2,B23-BRP-HT1-utt082,ALL_006_M_PBR_ENG_HT1_THE HOUSE HAD NINE BEDROOMS.wav,BRP,BRP,2,available
B23,B23.2003,3,B23-BRP-HT2-utt082,ALL_006_M_PBR_ENG_HT2_SCHOOL GOT OUT EARLY TODAY.wav,BRP,BRP,3,available
B23,B23.2003,4,B23-BRP-HT1-utt044,ALL_006_M_PBR_ENG_HT1_THE TABLE HAS THREE LEGS.wav,BRP,BRP,4,available
B23,B23.2003,5,B23-BRP-HT2-utt076,ALL_006_M_PBR_ENG_HT2_THEY ARE COMING FOR DINNER.wav,BRP,BRP,5,available
B23,B23.2003,6,B23-BRP-HT1-utt014,ALL_006_M_PBR_ENG_HT1_THE FIRE WAS VERY HOT.wav,BRP,BRP,6,available
B23,B23.2003,7,B23-BRP-HT2-utt116,ALL_006_M_PBR_ENG_HT2_THEY CALLED AN AMBULANCE.wav,BRP,BRP,7,available
B23,B23.2003,8,B23-BRP-HT2-utt108,ALL_006_M_PBR_ENG_HT2_THE JELLY JAR WAS FULL.wav,BRP,BRP,8,available
B23,B23.2003,9,B23-BRP-HT1-utt048,ALL_006_M_PBR_ENG_HT1_HER COAT IS ON A CHAIR.wav,BRP,BRP,9,available
B23,B23.2003,10,B23-BRP-HT2-utt028,ALL_006_M_PBR_ENG_HT2_THEY WAITED FOR AN HOUR.wav,BRP,BRP,10,available
B23,B23.2003,11,B23-BRP-HT2-utt114,ALL_006_M_PBR_ENG_HT2_THE COW IS MILKED EVERY DAY.wav,BRP,BRP,11,available
B23,B23.2003,12,B23-BRP-HT2-utt068,ALL_006_M_PBR_ENG_HT2_THE MILKMAN DRIVES A SMALL TRUCK.wav,BRP,BRP,12,available
B23,B23.2003,13,B23-BRP-HT1-utt058,ALL_006_M_PBR_ENG_HT1_FATHER FORGOT THE BREAD.wav,BRP,BRP,13,available
B23,B23.2003,14,B23-BRP-HT1-utt102,ALL_006_M_PBR_ENG_HT1_THE BOY IS RUNNING AWAY.wav,BRP,BRP,14,available
B23,B23.2003,15,B23-BRP-HT2-utt052,ALL_006_M_PBR_ENG_HT2_THE CHILDREN HELPED THEIR TEACHER.wav,BRP,BRP,15,available
B23,B23.2003,16,B23-BRP-HT1-utt012,ALL_006_M_PBR_ENG_HT1_SOMEBODY STOLE THE MONEY.wav,BRP,BRP,16,available
B23,B23.2003,17,B23-BRP-HT1-utt068,ALL_006_M_PBR_ENG_HT1_SHE CUT THE STEAK WITH HER KNIFE.wav,BRP,BRP,17,available
B23,B23.2003,18,B23-BRP-HT2-utt016,ALL_006_M_PBR_ENG_HT2_THE NEW ROAD IS ON THE MAP.wav,BRP,BRP,18,available
B23,B23.2003,19,B23-BRP-HT2-utt100,ALL_006_M_PBR_ENG_HT2_THERE WAS A BAD TRAIN WRECK.wav,BRP,BRP,19,available
B23,B23.2003,20,B23-BRP-HT2-utt054,ALL_006_M_PBR_ENG_HT2_THEY CARRIED SOME SHOPPING BAGS.wav,BRP,BRP,20,available
B23,B23.2003,21,B23-BRP-HT2-utt012,ALL_006_M_PBR_ENG_HT2_THE MILK WAS BY THE FRONT DOOR.wav,BRP,BRP,21,available
B23,B23.2003,22,B23-BRP-HT1-utt084,ALL_006_M_PBR_ENG_HT1_THEY'RE SHOPPING FOR SCHOOL CLOTHES.wav,BRP,BRP,22,available
B23,B23.2003,23,B23-BRP-HT1-utt028,ALL_006_M_PBR_ENG_HT1_THE BANANAS ARE TOO RIPE.wav,BRP,BRP,23,available
B23,B23.2003,24,B23-BRP-HT2-utt034,ALL_006_M_PBR_ENG_HT2_THE MILK IS IN A PITCHER.wav,BRP,BRP,24,available
B23,B23.2003,25,B23-BRP-HT1-utt032,ALL_006_M_PBR_ENG_HT1_SHE ARGUES WITH HER SISTER.wav,BRP,BRP,25,available
B23,B23.2003,26,B23-BRP-HT1-utt090,ALL_006_M_PBR_ENG_HT1_THEY SAT ON A WOODEN BENCH.wav,BRP,BRP,26,available
B23,B23.2003,27,B23-BRP-HT2-utt106,ALL_006_M_PBR_ENG_HT2_THE APPLE PIE IS GOOD.wav,BRP,BRP,27,available
B23,B23.2003,28,B23-BRP-HT2-utt036,ALL_006_M_PBR_ENG_HT2_THE TRUCK DROVE UP THE ROAD.wav,BRP,BRP,28,available
B23,B23.2003,29,B23-BRP-HT1-utt114,ALL_006_M_PBR_ENG_HT1_SHE TOOK OFF HER FUR COAT.wav,BRP,BRP,29,available
B23,B23.2003,30,B23-BRP-HT2-utt062,ALL_006_M_PBR_ENG_HT2_THEY'RE RUNNING PAST THE HOUSE.wav,BRP,BRP,30,available
B23,B23.2003,31,B23-BRP-HT2-utt056,ALL_006_M_PBR_ENG_HT2_SOMEONE IS CROSSING THE ROAD.wav,BRP,BRP,31,available
B23,B23.2003,32,B23-BRP-HT1-utt050,ALL_006_M_PBR_ENG_HT1_THE GIRL IS FIXING HER DRESS.wav,BRP,BRP,32,available
B23,B23.2003,33,B23-BRP-HT1-utt064,ALL_006_M_PBR_ENG_HT1_THE FAMILY BOUGHT A HOUSE.wav,BRP,BRP,33,available
B23,B23.2003,34,B23-BRP-HT2-utt024,ALL_006_M_PBR_ENG_HT2_THEY TOOK SOME FOOD OUTSIDE.wav,BRP,BRP,34,available
B23,B23.2003,35,B23-BRP-HT1-utt074,ALL_006_M_PBR_ENG_HT1_THE CHILDREN ARE WALKING HOME.wav,BRP,BRP,35,available
B23,B23.2003,36,B23-BRP-HT2-utt078,ALL_006_M_PBR_ENG_HT2_THEY WANTED SOME POTATOES.wav,BRP,BRP,36,available
B23,B23.2003,37,B23-BRP-HT1-utt004,ALL_006_M_PBR_ENG_HT1_THE WIFE HELPED HER HUSBAND.wav,BRP,BRP,37,available
B23,B23.2003,38,B23-BRP-HT1-utt072,ALL_006_M_PBR_ENG_HT1_THE FOOD IS EXPENSIVE.wav,BRP,BRP,38,available
B23,B23.2003,39,B23-BRP-HT1-utt106,ALL_006_M_PBR_ENG_HT1_FLOWERS CAN GROW IN THE POT.wav,BRP,BRP,39,available
B23,B23.2003,40,B23-BRP-HT2-utt070,ALL_006_M_PBR_ENG_HT2_THE BUS LEAVES BEFORE THE TRAIN.wav,BRP,BRP,40,available
B23,B23.2003,41,B23-BRP-HT1-utt108,ALL_006_M_PBR_ENG_HT1_HE'S SKATING WITH HIS FRIEND.wav,BRP,BRP,41,available
B23,B23.2003,42,B23-BRP-HT2-utt090,ALL_006_M_PBR_ENG_HT2_THE TWO CHILDREN ARE LAUGHING.wav,BRP,BRP,42,available
B23,B23.2003,43,B23-BRP-HT1-utt026,ALL_006_M_PBR_ENG_HT1_THE FAMILY LIKES FISH.wav,BRP,BRP,43,available
B23,B23.2003,44,B23-BRP-HT1-utt078,ALL_006_M_PBR_ENG_HT1_MILK COMES IN A CARTON.wav,BRP,BRP,44,available
B23,B23.2003,45,B23-BRP-HT1-utt092,ALL_006_M_PBR_ENG_HT1_THE CHILD DRANK SOME FRESH MILK.wav,BRP,BRP,45,available
B23,B23.2003,46,B23-BRP-HT2-utt050,ALL_006_M_PBR_ENG_HT2_THE KITCHEN CLOCK WAS WRONG.wav,BRP,BRP,46,available
B23,B23.2003,47,B23-BRP-HT2-utt018,ALL_006_M_PBR_ENG_HT2_SHE LOST HER CREDIT CARD.wav,BRP,BRP,47,available
B23,B23.2003,48,B23-BRP-HT2-utt086,ALL_006_M_PBR_ENG_HT2_THE BOY RAN AWAY FROM SCHOOL.wav,BRP,BRP,48,available
B23,B23.2003,49,B23-BRP-HT2-utt026,ALL_006_M_PBR_ENG_HT2_THE YOUNG PEOPLE ARE DANCING.wav,BRP,BRP,49,available
B23,B23.2003,50,B23-BRP-HT1-utt036,ALL_006_M_PBR_ENG_HT1_HE HUNG UP HIS RAINCOAT.wav,BRP,BRP,50,available
B23,B23.2003,51,B23-BRP-HT2-utt120,ALL_006_M_PBR_ENG_HT2_HE CLIMBED UP THE LADDER.wav,BRP,BRP,51,available
B23,B23.2003,52,B23-BRP-HT1-utt088,ALL_006_M_PBR_ENG_HT1_RAIN IS GOOD FOR TREES.wav,BRP,BRP,52,available
B23,B23.2003,53,B23-BRP-HT1-utt046,ALL_006_M_PBR_ENG_HT1_THE CHILDREN WAVED AT THE TRAIN.wav,BRP,BRP,53,available
B23,B23.2003,54,B23-BRP-HT2-utt092,ALL_006_M_PBR_ENG_HT2_THE FIRE TRUCK IS COMING.wav,BRP,BRP,54,available
