dataset_id,feature_key,scope,fold,model_id,formula,optimizer,random_structure,selection_reason,n_rows,fit_ok,singular,convergence,warnings,error,log_likelihood,deviance,AIC,n_observations,fitted_condition_id
AN19,mfcc39,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,617,True,False,ok,,,-267.854014875888,311.82724632916,541.708029751776,617,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,617,True,False,ok,,,-261.214120141543,312.369693421516,530.428240283085,617,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,618,True,False,ok,,,-274.960519495059,334.981085159068,555.921038990117,618,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,618,True,False,ok,,,-270.199369972073,336.0528366861,548.398739944145,618,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,665,True,False,ok,,,-294.31249842211,367.186031345094,594.62499684422,665,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,665,True,False,ok,,,-288.134602337969,367.375035323097,584.269204675938,665,AN19.Korean.test_Korean
AN19,mfcc39,full,,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,950,True,False,ok,,,-392.720462703445,526.907040976707,791.44092540689,950,AN19.Korean.test_Korean
AN19,mfcc39,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,950,True,False,ok,,,-386.82093461088,527.429504488387,781.641869221759,950,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",Nelder_Mead,participant_item_talker_intercepts,primary registered structure accepted,617,True,False,ok,,,-267.854015288646,311.828520592179,543.708030577291,617,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",Nelder_Mead,participant_item_talker_intercepts,primary registered structure accepted,617,True,False,ok,,,-256.412285181043,312.109451653137,522.824570362087,617,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,618,True,False,ok,,,-274.960519495059,334.981085159068,555.921038990117,618,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,618,True,False,ok,,,-265.691715220784,336.165326327328,539.383430441567,618,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,665,True,False,ok,,,-294.31249842211,367.186031345094,594.62499684422,665,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,665,True,False,ok,,,-281.651056590442,366.064166187744,571.302113180885,665,AN19.Korean.test_Korean
AN19,strf24_legacy,full,,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,950,True,False,ok,,,-392.720462703445,526.907040976707,791.44092540689,950,AN19.Korean.test_Korean
AN19,strf24_legacy,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,950,True,False,ok,,,-381.4350992824,527.535488423871,770.8701985648,950,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",nloptwrap,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,668,True,True,boundary (singular) fit: see help('isSingular'),,,-285.641743298584,325.47897445302,577.283486597168,668,AN19.Korean.test_Spanish
