branch,language,iso6393,AN19,B23,X21
Albanian,Albanian,als,1,0,0
Cushitic,Somali,som,1,0,0
Germanic,Dutch,nld,1,0,0
Germanic,English,eng,6,0,5
Germanic,German,deu,1,0,0
Indo-Aryan,Bengali,ben,1,0,0
Indo-Aryan,Hindi,hin,1,0,0
Iranian,Farsi,pes,0,1,0
Japonic,Japanese,jpn,1,0,0
Koreanic,Korean,kor,12,0,0
Romance,Brazilian Portuguese,por,0,1,0
Romance,French,fra,1,0,0
Romance,Romanian,ron,1,0,0
Romance,Spanish,spa,12,1,0
Sinitic,Mandarin,cmn,1,0,6
Slavic,Russian,rus,1,0,0
Turkic,Turkish,tur,1,1,0
