dataset_id,variant,layer,figure_kind,output_file,source_file,source_sha256
AN19,base,tr_24,an19_s_curves_24_test_talkers,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_base_an19_s_curves_24_test_talkers.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-base-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_24_test_talkers.png,b13a73906a5da4e8775606a480b85a2d537bcd28f4f522799455e444758ce9e8
AN19,base,tr_24,an19_s_curves_24_test_talkers,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_base_an19_s_curves_24_test_talkers.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-base-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_24_test_talkers.svg,d88ae4291767145e6479dcc7721c0714452809a716db9e213273d318679ca525
AN19,base,tr_24,an19_s_curves_24_test_talkers_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_base_an19_s_curves_24_test_talkers_pooled.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-base-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_24_test_talkers_pooled.png,2d70a62c93d06f93ba225b91d735649b334d6c03fa682e825eea537a8a3768eb
AN19,base,tr_24,an19_s_curves_24_test_talkers_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_base_an19_s_curves_24_test_talkers_pooled.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-base-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_24_test_talkers_pooled.svg,4522f6416c427bd408c2e1deea2efa0a9d5a099e89fa7b604c02139babe02d6b
AN19,base,tr_24,an19_s_curves_by_test_accent,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_base_an19_s_curves_by_test_accent.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-base-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_by_test_accent.png,743ea0a164616d257cec30ba05ffe573270485af50b9d95fc3d43f1dfdbf01e3
AN19,base,tr_24,an19_s_curves_by_test_accent,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_base_an19_s_curves_by_test_accent.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-base-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_by_test_accent.svg,b7765d2f0a10f1e3cff11b6fb210fc60c399b5cf4d5fec5b12ba756c2c9b096d
AN19,base,tr_24,an19_s_curves_by_test_accent_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_base_an19_s_curves_by_test_accent_pooled.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-base-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_by_test_accent_pooled.png,40a66eb7cce05ed4ac70475e842ea7174a9aa1cd6544ab5c3c9acc1862c97e97
AN19,base,tr_24,an19_s_curves_by_test_accent_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_base_an19_s_curves_by_test_accent_pooled.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-base-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_by_test_accent_pooled.svg,7644029ca8c394b0e9bc6a1a42fc5cbfc5e4d6e4aad9a2db3ecea4dadaae32bb
X21,base,tr_24,x21_s_curves_by_condition,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\X21_base_x21_s_curves_by_condition.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\X21-base-tr24-notebook-s-curves-legacy-axis-z-v5\x21_s_curves_by_condition.png,46f12f521fafa902ed7c9d863b52bb7e460fca9779f3bc9b324f21ce0650a6a9
X21,base,tr_24,x21_s_curves_by_condition,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\X21_base_x21_s_curves_by_condition.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\X21-base-tr24-notebook-s-curves-legacy-axis-z-v5\x21_s_curves_by_condition.svg,b8d790488af93d61c7afb78064273eab536caf1db74f45442f50bbfa01fdd5ba
