dataset_id,model_variant,representation,layer,fold,type,source,z_test,percent_ceiling,ceiling_mean_z,source_path
AN19,base,hubert_tsne_3d,cnn_2,1,corrected,base,5.849509910707112,26.3968921657548,22.159843189024333,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-original-structure-z-notebook-folds-v2\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_2,2,corrected,base,4.210005460385277,18.998354024772492,22.159843189024333,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-original-structure-z-notebook-folds-v2\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_2,3,corrected,base,6.159717395500535,27.79675534234563,22.159843189024333,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-original-structure-z-notebook-folds-v2\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_3,1,corrected,base,4.672811964384016,21.08684580718711,22.159843189024333,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-original-structure-z-notebook-folds-v2\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_3,2,corrected,base,3.149929316370145,14.214583061356183,22.159843189024333,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-original-structure-z-notebook-folds-v2\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_3,3,corrected,base,4.873142165800395,21.99086935874185,22.159843189024333,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-original-structure-z-notebook-folds-v2\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_4,1,corrected,base,2.9678594242064453,13.39296221047454,22.159843189024333,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-original-structure-z-notebook-folds-v2\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_4,2,corrected,base,2.5683722590149425,11.590209538518058,22.159843189024333,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-original-structure-z-notebook-folds-v2\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_4,3,corrected,base,2.818359152637886,12.71831722181954,22.159843189024333,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-original-structure-z-notebook-folds-v2\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_5,1,corrected,base,0.284781460061857,1.285123985908474,22.159843189024333,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-original-structure-z-notebook-folds-v2\heldout_refit_z.csv
