run_label,family,variant,measure,stratum,layer,dataset_id,feature_key,model_id,mean_fold_ratio,ci95_low,ci95_high,n_valid_folds,n_expected_folds,n_warning_folds,summary_status,invalid_reason
AN19-acoustic,SBI,acoustic,similarity,all_participants,mfcc39,AN19,mfcc39,M_condition,1.004419966339478,1.0017173049204204,1.006923806550165,3,3,0,ok,
AN19-acoustic,SBI,acoustic,similarity,all_participants,mfcc39,AN19,mfcc39,M_joint,1.0045162780175343,1.0005958114458944,1.0078954189479037,3,3,0,ok,
AN19-acoustic,SBI,acoustic,similarity,all_participants,mfcc39,AN19,mfcc39,M_null,1.0000415931131084,0.9975893846384362,1.0031790679382249,3,3,0,ok,
AN19-acoustic,SBI,acoustic,similarity,all_participants,mfcc39,AN19,mfcc39,M_predictor,1.0000374837838928,0.9972781867545097,1.0036684166247802,3,3,0,ok,
AN19-acoustic,SBI,acoustic,similarity,all_participants,strf24_legacy,AN19,strf24_legacy,M_condition,1.004419966339478,1.0017173049204204,1.006923806550165,3,3,0,ok,
AN19-acoustic,SBI,acoustic,similarity,all_participants,strf24_legacy,AN19,strf24_legacy,M_joint,1.00605993451472,0.9965845284749539,1.0149599749943583,3,3,0,ok,
AN19-acoustic,SBI,acoustic,similarity,all_participants,strf24_legacy,AN19,strf24_legacy,M_null,1.0000415931131084,0.9975893846384362,1.0031790679382249,3,3,0,ok,
AN19-acoustic,SBI,acoustic,similarity,all_participants,strf24_legacy,AN19,strf24_legacy,M_predictor,1.0014365175568836,0.9922385637759605,1.011602264287592,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_2,AN19,cnn_2,M_condition,1.004423646213053,1.0017173049204204,1.006932454253066,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_2,AN19,cnn_2,M_joint,1.004449164907851,0.9992916807424003,1.0093661367334796,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_2,AN19,cnn_2,M_null,1.000040854976964,0.9975893846384362,1.0031773333182856,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_2,AN19,cnn_2,M_predictor,1.0001501057582212,0.995113627651704,1.0063788247450232,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_3,AN19,cnn_3,M_condition,1.004423646213053,1.0017173049204204,1.006932454253066,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_3,AN19,cnn_3,M_joint,1.0045970827333228,0.99910656914362,1.0088295331448673,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_3,AN19,cnn_3,M_null,1.000040854976964,0.9975893846384362,1.0031773333182856,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_3,AN19,cnn_3,M_predictor,0.9998228595704086,0.9943881457177091,1.00545609036501,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_4,AN19,cnn_4,M_condition,1.004423646213053,1.0017173049204204,1.006932454253066,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_4,AN19,cnn_4,M_joint,1.0045795546852476,1.0009660172537889,1.0080539221668805,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_4,AN19,cnn_4,M_null,1.000040854976964,0.9975893846384362,1.0031773333182856,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_4,AN19,cnn_4,M_predictor,1.0004015427207589,0.9969494668567342,1.0049589066697946,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_5,AN19,cnn_5,M_condition,1.004423646213053,1.0017173049204204,1.006932454253066,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_5,AN19,cnn_5,M_joint,1.0042877872424836,1.0010105262291584,1.0074113095164163,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_5,AN19,cnn_5,M_null,1.000040854976964,0.9975893846384362,1.0031773333182856,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_5,AN19,cnn_5,M_predictor,1.000252238688104,0.9973455908265145,1.004106546142677,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_6,AN19,cnn_6,M_condition,1.004423646213053,1.0017173049204204,1.006932454253066,3,3,0,ok,
AN19-base,SBI,base,similarity,all_participants,cnn_6,AN19,cnn_6,M_joint,1.0047591402201208,1.002562015403088,1.0069784378959026,3,3,0,ok,
