fitted_condition_id,feature_key,fold,null_mean_log_loss,predictor_mean_log_loss,predictor_improvement_mean_log_loss,training_slope,training_slope_se,training_z,training_p,random_structure,selection_reason,fit_ok,singular,convergence
AN19.Korean.test_Korean,mfcc39,0.0,0.713597451829544,0.663281708831954,0.05031574299759001,1.28486297511128,0.366413734152347,3.50659065245916,0.0004538868015394,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Korean.test_Korean,mfcc39,1.0,0.64809721607611,0.58174638163144,0.06635083444467005,0.998519584118124,0.329122796265716,3.03388156471536,0.0024142918997052,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Korean.test_Korean,mfcc39,2.0,0.72182266388857,0.657123114006051,0.06469954988251903,1.09358017232818,0.321188669061937,3.40479063449556,0.0006621479835456,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Korean.test_Korean,strf24_legacy,0.0,0.713589933431712,0.625456663075535,0.08813327035617691,1.58465453945393,0.35433912238617,4.47214106300949,7.74403140110203e-06,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Korean.test_Korean,strf24_legacy,1.0,0.64809721607611,0.548466591696238,0.09963062437987202,1.34951489130545,0.326419313722464,4.13429853741088,3.56040416217538e-05,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Korean.test_Korean,strf24_legacy,2.0,0.72182266388857,0.643361745441847,0.07846091844672298,1.5147851324844,0.326183110346338,4.64397169698952,3.41774403005925e-06,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Korean.test_Spanish,mfcc39,0.0,0.697412884418933,0.625935150542599,0.07147773387633405,0.965033284112238,0.356136895902904,2.70972565666249,0.0067338881165389,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,True,boundary (singular) fit: see help('isSingular')
AN19.Korean.test_Spanish,mfcc39,1.0,0.705665825678483,0.679568819572645,0.026097006105837983,1.41752285506572,0.370949052832006,3.8213410824038,0.0001327279316188,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Korean.test_Spanish,mfcc39,2.0,0.692892322753718,0.674179713806735,0.01871260894698301,1.4421354150087,0.36720985911257,3.92727858259003,8.59124503754274e-05,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Korean.test_Spanish,strf24_legacy,0.0,0.697412884418933,0.688912902654851,0.008499981764082065,2.18176198004015,0.446003433189684,4.89180534875447,9.99152338842435e-07,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,True,boundary (singular) fit: see help('isSingular')
AN19.Korean.test_Spanish,strf24_legacy,1.0,0.705388338884423,0.686664891594378,0.018723447290044937,1.98404786887764,0.407633637972038,4.86723293678168,1.1317161066375e-06,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Korean.test_Spanish,strf24_legacy,2.0,0.692892322753718,0.636600072335729,0.05629225041798902,1.73627072531406,0.369136000140651,4.70360713843269,2.55604867078827e-06,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Mixed.test_Korean,mfcc39,0.0,0.665412359753332,0.617155708611063,0.04825665114226907,0.491178538361985,0.191280632412453,2.567842505366,0.0102333638538724,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Mixed.test_Korean,mfcc39,1.0,0.649688008113117,0.611907292324585,0.03778071578853204,0.621422918107191,0.214853885802838,2.8923047669589,0.0038242677937844,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Mixed.test_Korean,mfcc39,2.0,0.688729929206077,0.652276060693652,0.03645386851242505,0.733233558179544,0.225280741161756,3.25475473135569,0.0011349033176854,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Mixed.test_Korean,strf24_legacy,0.0,0.665412359753332,0.619940266962823,0.04547209279050901,0.500844033793494,0.190357796180543,2.63106656960072,0.0085117361609222,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Mixed.test_Korean,strf24_legacy,1.0,0.649688008113117,0.610161816475601,0.03952619163751603,0.615915271605315,0.205210656088784,3.00138054886799,0.002687584605753,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Mixed.test_Korean,strf24_legacy,2.0,0.688729929206077,0.648508460411714,0.04022146879436306,0.56230643778637,0.214817843882032,2.61759650699763,0.0088551444406778,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Mixed.test_Spanish,mfcc39,0.0,0.695484444457901,0.701363867974984,-0.005879423517082927,1.29262765458998,0.295069607095813,4.38075499307609,1.18268797174164e-05,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Mixed.test_Spanish,mfcc39,1.0,0.710853294623363,0.62210214456994,0.08875115005342304,0.880877814331827,0.328197462875776,2.6839872758713,0.0072749874975725,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Mixed.test_Spanish,mfcc39,2.0,0.707945963912977,0.647125910376022,0.06082005353695508,0.885512580553425,0.330019977717637,2.68320901867057,0.0072919400152372,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Mixed.test_Spanish,strf24_legacy,0.0,0.695484444457901,0.66461241317829,0.030872031279611023,1.23689660328094,0.289830010765003,4.26766227560827,1.97532072151987e-05,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Mixed.test_Spanish,strf24_legacy,1.0,0.712225506475668,0.61441283417018,0.09781267230548796,0.845758017675661,0.326222697505999,2.59257870203868,0.009525938300987,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Mixed.test_Spanish,strf24_legacy,2.0,0.707945963912977,0.659677971441276,0.04826799247170099,1.13809089839219,0.325315004256279,3.49842731968063,0.0004680106271068,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,False,ok
AN19.Spanish.test_Korean,mfcc39,0.0,0.693821094173028,0.660263348550824,0.03355774562220393,0.622939965567179,0.240319628186341,2.59213103094583,0.0095383434994204,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Spanish.test_Korean,mfcc39,1.0,0.726458763535664,0.741127340435638,-0.014668576899974028,1.01463672539525,0.280542087771569,3.61670055803328,0.0002983821441875,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Spanish.test_Korean,mfcc39,2.0,0.618160461765646,0.584895436929437,0.03326502483620897,0.564580203344831,0.277259142033022,2.03629066729778,0.0417211764225262,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Spanish.test_Korean,strf24_legacy,0.0,0.693821094173028,0.673883097732803,0.01993799644022498,0.864085824494859,0.228060927600174,3.78883763030963,0.000151353791847,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Spanish.test_Korean,strf24_legacy,1.0,0.726458763535664,0.721863333206766,0.004595430328897976,1.23105979294433,0.287009300620679,4.28926794456511,1.79263002217737e-05,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Spanish.test_Korean,strf24_legacy,2.0,0.618160461765646,0.560845960863553,0.057314500902093,0.59965014503182,0.262892129060662,2.28097412872126,0.0225499778323878,participant_item_talker_intercepts,primary registered structure accepted,True,False,ok
AN19.Spanish.test_Spanish,mfcc39,0.0,0.6933437475594,0.725921824662145,-0.03257807710274507,1.72122470912705,0.48600122494017,3.54160570138264,0.0003976994798458,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,True,boundary (singular) fit: see help('isSingular')
AN19.Spanish.test_Spanish,mfcc39,1.0,0.69826028477772,0.722136754716262,-0.02387646993854209,1.50795748735644,0.419490716078093,3.59473387505367,0.0003247233315313,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,True,boundary (singular) fit: see help('isSingular')
AN19.Spanish.test_Spanish,mfcc39,2.0,0.693537557445009,0.691365484613882,0.00217207283112697,1.55746070322411,0.480802020723747,3.23929733256878,0.0011982458917162,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,True,boundary (singular) fit: see help('isSingular')
AN19.Spanish.test_Spanish,strf24_legacy,0.0,0.6933437475594,0.709659708951211,-0.016315961391811018,2.0606642788115,0.47230265310494,4.36301652185224,1.28281251383178e-05,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,True,boundary (singular) fit: see help('isSingular')
AN19.Spanish.test_Spanish,strf24_legacy,1.0,0.69826028477772,0.736806463244496,-0.03854617846677599,1.90873881774186,0.403818944688421,4.7267193450139,2.28176292409647e-06,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,True,boundary (singular) fit: see help('isSingular')
AN19.Spanish.test_Spanish,strf24_legacy,2.0,0.693537557445009,0.588359319078986,0.10517823836602302,1.80390912751962,0.479052564033748,3.76557660464278,0.0001661651665456,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,True,True,boundary (singular) fit: see help('isSingular')
