layer,measure,reason
cnn_2,within_token_sentence,unsupported_or_no_exposure
cnn_2,within_token_phoneme,unsupported_or_no_exposure
cnn_2,within_type_sentence,unsupported_or_no_exposure
cnn_2,within_type_phoneme,unsupported_or_no_exposure
cnn_2,between_type_sentence,unsupported_or_no_exposure
cnn_2,between_type_phoneme,unsupported_or_no_exposure
cnn_2,order_sentence,unsupported_or_no_exposure
cnn_2,order_phoneme,unsupported_or_no_exposure
cnn_2,mean_dissimilarity_sentence,unsupported_or_no_exposure
cnn_2,mean_dissimilarity_phoneme,unsupported_or_no_exposure
cnn_3,within_token_sentence,unsupported_or_no_exposure
cnn_3,within_token_phoneme,unsupported_or_no_exposure
cnn_3,within_type_sentence,unsupported_or_no_exposure
cnn_3,within_type_phoneme,unsupported_or_no_exposure
cnn_3,between_type_sentence,unsupported_or_no_exposure
cnn_3,between_type_phoneme,unsupported_or_no_exposure
cnn_3,order_sentence,unsupported_or_no_exposure
cnn_3,order_phoneme,unsupported_or_no_exposure
cnn_3,mean_dissimilarity_sentence,unsupported_or_no_exposure
cnn_3,mean_dissimilarity_phoneme,unsupported_or_no_exposure
cnn_4,within_token_sentence,unsupported_or_no_exposure
cnn_4,within_token_phoneme,unsupported_or_no_exposure
cnn_4,within_type_sentence,unsupported_or_no_exposure
cnn_4,within_type_phoneme,unsupported_or_no_exposure
cnn_4,between_type_sentence,unsupported_or_no_exposure
cnn_4,between_type_phoneme,unsupported_or_no_exposure
cnn_4,order_sentence,unsupported_or_no_exposure
cnn_4,order_phoneme,unsupported_or_no_exposure
cnn_4,mean_dissimilarity_sentence,unsupported_or_no_exposure
cnn_4,mean_dissimilarity_phoneme,unsupported_or_no_exposure
cnn_5,within_token_sentence,unsupported_or_no_exposure
cnn_5,within_token_phoneme,unsupported_or_no_exposure
cnn_5,within_type_sentence,unsupported_or_no_exposure
cnn_5,within_type_phoneme,unsupported_or_no_exposure
cnn_5,between_type_sentence,unsupported_or_no_exposure
cnn_5,between_type_phoneme,unsupported_or_no_exposure
cnn_5,order_sentence,unsupported_or_no_exposure
cnn_5,order_phoneme,unsupported_or_no_exposure
cnn_5,mean_dissimilarity_sentence,unsupported_or_no_exposure
cnn_5,mean_dissimilarity_phoneme,unsupported_or_no_exposure
cnn_6,within_token_sentence,unsupported_or_no_exposure
cnn_6,within_token_phoneme,unsupported_or_no_exposure
cnn_6,within_type_sentence,unsupported_or_no_exposure
cnn_6,within_type_phoneme,unsupported_or_no_exposure
cnn_6,between_type_sentence,unsupported_or_no_exposure
cnn_6,between_type_phoneme,unsupported_or_no_exposure
cnn_6,order_sentence,unsupported_or_no_exposure
cnn_6,order_phoneme,unsupported_or_no_exposure
cnn_6,mean_dissimilarity_sentence,unsupported_or_no_exposure
cnn_6,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_0,within_token_sentence,unsupported_or_no_exposure
tr_0,within_token_phoneme,unsupported_or_no_exposure
tr_0,within_type_sentence,unsupported_or_no_exposure
tr_0,within_type_phoneme,unsupported_or_no_exposure
