dataset_id,feature_key,scope,fold,model_id,formula,optimizer,random_structure,selection_reason,n_rows,fit_ok,singular,convergence,warnings,error,log_likelihood,deviance,AIC,n_observations,estimate,std_error,z_value,p_value,nonboundary_convergence_message,boundary_only_diagnostic,total_trials,mean_log_loss,variance_components_available,variance_participant_id,variance_analysis_item_id,variance_test_talker_id,policy,case_id,condition_id,random_policy
AN19,mfcc39,cv_train,0.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,3791,True,False,ok,,,-1537.59651173842,2378.16891547812,3091.19302347684,3791,,,,,False,False,1894.0,0.684933623622493,False,,,,registered,all_conditions,all,
AN19,mfcc39,cv_train,0.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,3791,True,False,ok,,,-1534.85910495726,2385.36083474589,3087.71820991451,3791,0.280340910116864,0.115421431001397,2.42884625224816,0.0151469540700711,False,False,1894.0,0.654314310982087,False,,,,registered,all_conditions,all,
AN19,mfcc39,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,3791,True,False,ok,,,-1545.65623608356,2371.99053837189,3097.31247216711,3791,,,,,False,False,1894.0,0.695338840250074,False,,,,registered,all_conditions,all,
AN19,mfcc39,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,3791,True,False,ok,,,-1542.13595927117,2381.45242948245,3092.27191854235,3791,0.309038485080799,0.112167921471828,2.75514140786159,0.0058666773905181,False,False,1894.0,0.661878970223879,False,,,,registered,all_conditions,all,
AN19,mfcc39,cv_train,1.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,3790,True,False,ok,,,-1483.48028049001,2291.89537410068,2984.96056098002,3790,,,,,False,False,1895.0,0.684917844322057,False,,,,registered,all_conditions,all,
AN19,mfcc39,cv_train,1.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,3790,True,False,ok,,,-1481.88550958568,2297.14801359489,2983.77101917136,3790,0.219770510917127,0.118647398388404,1.85229945116611,0.063982834491532,False,False,1895.0,0.659677677345057,False,,,,registered,all_conditions,all,
AN19,mfcc39,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,3790,True,False,ok,,,-1490.5941929081,2285.76083666709,2989.1883858162,3790,,,,,False,False,1895.0,0.692965405193555,False,,,,registered,all_conditions,all,
AN19,mfcc39,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,3790,True,False,ok,,,-1489.37666612763,2289.6969152134,2988.75333225526,3790,0.184012005665277,0.114251843658996,1.61058237462226,0.107270777957416,False,False,1895.0,0.670499106785741,False,,,,registered,all_conditions,all,
AN19,mfcc39,cv_train,2.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,3789,True,False,ok,,,-1482.78500653523,2263.63011342191,2983.57001307046,3789,,,,,False,False,1896.0,0.684802391518476,False,,,,registered,all_conditions,all,
AN19,mfcc39,cv_train,2.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,3789,True,False,ok,,,-1480.11073601336,2269.94411020542,2980.22147202673,3789,0.285806969374318,0.118839391027214,2.40498513921927,0.0161731234486715,False,False,1896.0,0.652781779573886,False,,,,registered,all_conditions,all,
