dataset_id,feature_key,scope,fold,model_id,random_policy,random_structure,group,term,paired_term,variance,stddev_or_correlation,variance_below_1e_8,singular,convergence,case_id,condition_id
AN19,mfcc39,cv_train,0.0,M_null,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,14.4211831917648,3.79752329706676,False,True,boundary (singular) fit: see help('isSingular'),c1,AN19.Korean.test_Spanish
AN19,mfcc39,cv_train,0.0,M_null,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c1,AN19.Korean.test_Spanish
AN19,mfcc39,cv_train,0.0,M_predictor,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,11.356381393515,3.36992305453923,False,True,boundary (singular) fit: see help('isSingular'),c1,AN19.Korean.test_Spanish
AN19,mfcc39,cv_train,0.0,M_predictor,participant_item,participant_item_intercepts,participant_id,(Intercept),,1.03481009009979e-15,3.21684642173013e-08,True,True,boundary (singular) fit: see help('isSingular'),c1,AN19.Korean.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_null,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,14.4211831917648,3.79752329706676,False,True,boundary (singular) fit: see help('isSingular'),c1,AN19.Korean.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_null,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c1,AN19.Korean.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_predictor,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,11.4388860738483,3.38214223146341,False,True,boundary (singular) fit: see help('isSingular'),c1,AN19.Korean.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_predictor,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c1,AN19.Korean.test_Spanish
AN19,mfcc39,cv_train,0.0,M_null,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,15.2081482498698,3.899762588911,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,cv_train,0.0,M_null,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,cv_train,0.0,M_predictor,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,13.5835782614579,3.68559062586418,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,cv_train,0.0,M_predictor,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,cv_train,1.0,M_null,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,12.9920531915624,3.60444908294768,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,cv_train,1.0,M_null,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,cv_train,1.0,M_predictor,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,11.0990342850032,3.33152131690661,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,cv_train,1.0,M_predictor,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,cv_train,2.0,M_null,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,14.9308828403059,3.86405005665116,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,cv_train,2.0,M_null,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
